# Tabla: server
# nombre|descripcion|modo|servicio
#gm_sysps|Comando ps|1|/bin/ps
#gm_sysdate|Comando date|1|/bin/date
gm_config|Server de configuracion on-line|2|/usr/local/sbin/gm_config
gm_default|Server de ejemplo|2|/usr/local/sbin/gm_default
gm_timer|Server de timers|2|/usr/local/sbin/gm_timer
gm_transac|Administrador de transacciones|2|/usr/local/sbin/gm_transac
gm_buffer|Server de buffers|2|/usr/local/sbin/gm_sbuffer
gm_squeue|Server de Store and forward|2|/usr/local/sbin/gm_squeue
dompi_server|Server de Domotica|2|/usr/local/sbin/dompi_server
dompi_netcomm|Interface con RED|2|/usr/local/sbin/dompi_netcomm
dompi_cloud|Interface con la nube|2|/usr/local/sbin/dompi_cloud
dompi_gsm|Interface de mensajeria SMS|2|/usr/local/sbin/dompi_gsm
dompi_abm|Server de Administracion|2|/usr/local/sbin/dompi_abm
dompi_gpio|Interface con GPIO|2|/usr/local/sbin/dompi_gpio
dompi_command|Server de DOMCLI|2|/usr/local/sbin/dompi_command
